Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Assembly Level,Assembly Release Date,Assembly Stats Number of Scaffolds
GCA_000006945.2,ASM694v2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,LT2,Complete Genome,2016-01-13,2
GCA_000195955.2,ASM19595v2,Mycobacterium tuberculosis H37Rv,H37Rv,Complete Genome,2013-02-01,1
GCA_000009045.1,ASM904v1,Bacillus subtilis subsp. subtilis str. 168,168,Complete Genome,2009-03-17,1
GCA_009035845.1,ASM903584v1,Acinetobacter baumannii,ATCC 19606,Complete Genome,2019-10-16,3
GCA_000015785.2,ASM1578v2,Bacillus velezensis FZB42,FZB42,Complete Genome,2019-06-24,1
GCA_001457635.1,NCTC7465,Streptococcus pneumoniae,NCTC7465,Complete Genome,2015-03-22,1
GCA_000412675.1,ASM41267v1,Pseudomonas putida NBRC 14164,NBRC 14164,Complete Genome,2013-06-14,1
GCA_025998455.1,ASM2599845v1,Helicobacter pylori,CHC155,Complete Genome,2022-10-20,1
GCA_019048245.1,ASM1904824v1,Enterobacter hormaechei,FDAARGOS 1433,Complete Genome,2021-06-28,3
GCA_900186865.1,49243_F02,Stenotrophomonas maltophilia,NCTC10257,Complete Genome,2017-08-15,1
GCA_006094375.1,ASM609437v1,Staphylococcus epidermidis,ATCC 14990,Complete Genome,2019-06-06,3
GCA_006094495.1,ASM609449v1,Priestia megaterium NBRC 15308 = ATCC 14581,ATCC 14581,Complete Genome,2019-06-06,7
GCA_000196555.1,ASM19655v1,Bifidobacterium longum subsp. longum JCM 1217,JCM 1217,Complete Genome,2011-01-28,1
GCA_034478925.1,ASM3447892v1,Bacillus licheniformis,ATCC 14580,Complete Genome,2023-12-19,1
GCA_019048645.1,ASM1904864v1,Streptococcus mutans,FDAARGOS 1458,Complete Genome,2021-06-28,1
GCA_020099175.1,ASM2009917v1,Klebsiella quasipneumoniae,FDAARGOS_1503,Complete Genome,2021-09-23,3
GCA_020525545.1,ASM2052554v1,Klebsiella variicola subsp. variicola,F2R9T,Complete Genome,2021-10-19,1
GCA_022869645.1,ASM2286964v1,Neisseria meningitidis,PartJ-Nmeningitidis-RM8376,Complete Genome,2022-04-11,1
GCA_000014805.1,ASM1480v1,Aeromonas hydrophila subsp. hydrophila ATCC 7966,ATCC 7966,Complete Genome,2006-11-06,1
